time,latitude,longitude,depth_km,magnitude,mag_type,place
2024-12-22T19:09:55.269Z,34.6161,26.2605,43.772,4.7,mww,"64 km S of Palekastro, Greece"
2024-12-22T19:04:25.043Z,-10.9029,112.452,10,4.9,mb,"299 km S of Dampit, Indonesia"
2024-12-22T17:05:51.856Z,-9.262,106.6736,10,4.9,mb,"243 km SSW of Banjar, Indonesia"
2024-12-22T15:14:30.721Z,5.5007,61.4328,10,4.6,mb,Carlsberg Ridge
2024-12-22T12:24:43.094Z,19.0041,145.4748,221.989,4.5,mb,"Maug Islands region, Northern Mariana Islands"
2024-12-22T11:53:05.013Z,34.1284,24.9988,10.137,4.5,mb,"98 km S of Pýrgos, Greece"
2024-12-22T11:50:21.687Z,-40.1171,45.977,10,4.7,mb,Southwest Indian Ridge
2024-12-22T11:44:57.369Z,55.9537,-153.9737,27.4,5,mww,"111 km S of Akhiok, Alaska"
2024-12-22T11:10:38.373Z,-17.5041,168.266,9.901,4.5,mb,"26 km N of Port-Vila, Vanuatu"
2024-12-22T11:03:22.753Z,-18.1033,-178.1288,579.685,4.5,mb,"270 km E of Levuka, Fiji"
2024-12-22T10:38:23.415Z,-23.9678,-179.6149,518.48,4.5,mb,south of the Fiji Islands
2024-12-22T07:55:51.387Z,31.845,130.6312,170.684,4.6,mb,"12 km NNW of Kajiki, Japan"
2024-12-22T07:37:10.193Z,17.721,119.522,10,4.9,mb,"88 km W of Puro Pinget, Philippines"
2024-12-22T06:46:24.685Z,-33.0699,-178.2933,10,4.5,mb,south of the Kermadec Islands
2024-12-22T05:03:25.039Z,-21.1052,169.6495,92.867,4.5,mb,"177 km SSE of Isangel, Vanuatu"
2024-12-22T04:45:13.122Z,3.3742,126.6274,46.888,4.9,mb,"238 km NW of Tobelo, Indonesia"
2024-12-22T04:08:49.344Z,55.9061,-153.8809,13.6,4.9,mb,"117 km S of Akhiok, Alaska"
2024-12-22T03:56:03.086Z,55.9603,-153.9543,2,5.2,mww,"110 km S of Akhiok, Alaska"
2024-12-22T02:31:24.140Z,-10.954,162.6049,45.912,5.1,mb,"93 km SE of Kirakira, Solomon Islands"
2024-12-22T01:00:32.010Z,37.2564,71.2961,101.027,4.5,mb,"34 km SW of Khorugh, Tajikistan"
2024-12-22T00:51:05.219Z,-30.381,19.5557,10,5.2,mww,"89 km W of Brandvlei, South Africa"
2024-12-21T21:25:34.409Z,-15.1752,-74.9179,55.941,4.5,mb,"21 km E of Minas de Marcona, Peru"
2024-12-21T19:36:29.722Z,39.0267,70.8752,10,4.5,mb,"43 km E of Rasht, Tajikistan"
2024-12-21T19:20:34.469Z,-14.7719,-175.862,285.194,4.5,mb,"168 km SSE of Mata-Utu, Wallis and Futuna"
